,Year,County,Ozone (ppb)
0,2010,Alameda,19.944733568904628
1,2010,Amador,25.307209366391188
2,2010,Butte,33.10212191780826
3,2010,Calaveras,29.32826301369863
4,2010,Colusa,25.605284900284904
5,2010,Contra Costa,23.958731171548116
6,2010,El Dorado,39.92177278911569
7,2010,Fresno,30.074165949306572
8,2010,Glenn,27.215804945054916
9,2010,Humboldt,22.85752197802196
10,2010,Imperial,29.964244155844167
11,2010,Inyo,43.20484084084086
12,2010,Kern,35.106139526669004
13,2010,Kings,31.589145285935114
14,2010,Lake,26.760903581267183
15,2010,Los Angeles,24.93397649082566
16,2010,Madera,27.618073126142587
17,2010,Marin,18.80955342465755
18,2010,Mariposa,44.9462005076142
19,2010,Mendocino,14.74900549450549
20,2010,Merced,28.07043396226415
21,2010,Monterey,24.655563535911597
22,2010,Napa,23.19050410958905
23,2010,Nevada,38.86394230769228
24,2010,Orange,26.043481792717095
25,2010,Placer,30.709850869167447
26,2010,Riverside,33.558926315789535
27,2010,Sacramento,25.30173823529412
28,2010,San Benito,28.528895251396627
29,2010,San Bernardino,36.85567814155041
30,2010,San Diego,29.393740584737355
31,2010,San Francisco,21.451873972602755
32,2010,San Joaquin,25.631717808219207
33,2010,San Luis Obispo,30.643999605522694
34,2010,San Mateo,20.150732044198918
35,2010,Santa Barbara,29.69584122626398
36,2010,Santa Clara,22.577122950819668
37,2010,Santa Cruz,21.71158444444446
38,2010,Shasta,28.60653797909407
39,2010,Siskiyou,22.70428254847644
40,2010,Solano,24.216437113402055
41,2010,Sonoma,17.863950684931496
42,2010,Stanislaus,25.351220797720774
43,2010,Sutter,28.3704490909091
44,2010,Tehama,35.72228363636366
45,2010,Tulare,35.55329741379308
46,2010,Tuolumne,32.13229041095889
47,2010,Ventura,29.356931001437466
48,2010,Yolo,23.482438988095243
49,2011,Alameda,21.322507462686577
50,2011,Amador,25.42695068493149
51,2011,Butte,32.59144931506851
52,2011,Calaveras,29.013633608815432
53,2011,Colusa,25.211324099722987
54,2011,Contra Costa,22.785799450549444
55,2011,El Dorado,39.99549507735585
56,2011,Fresno,31.305374711582814
57,2011,Glenn,27.425226361031527
58,2011,Humboldt,22.321125468164773
59,2011,Imperial,30.508806078147657
60,2011,Inyo,47.20121606648197
61,2011,Kern,34.848191075050664
62,2011,Kings,29.94240225035162
63,2011,Lake,26.696361643835623
64,2011,Los Angeles,25.35122395141396
65,2011,Madera,31.384871670702182
66,2011,Marin,18.86603835616439
67,2011,Mariposa,43.73158290155435
68,2011,Mendocino,14.28959340659341
69,2011,Merced,32.7506795774648
70,2011,Monterey,25.173607142857115
71,2011,Napa,21.989810958904116
72,2011,Nevada,40.1585112781955
73,2011,Orange,26.415068055555533
74,2011,Placer,30.705158424908387
75,2011,Riverside,36.23244647153163
76,2011,Sacramento,26.50154683026586
77,2011,San Benito,27.738586538461547
78,2011,San Bernardino,37.264649645736604
79,2011,San Diego,28.988004185130517
80,2011,San Francisco,20.772682191780824
81,2011,San Joaquin,26.771103021977993
82,2011,San Luis Obispo,29.861801816028425
83,2011,San Mateo,18.868994397759117
84,2011,Santa Barbara,30.274310677382278
85,2011,Santa Clara,22.122315389486992
86,2011,Santa Cruz,23.84675757575759
87,2011,Shasta,28.050394210889035
88,2011,Siskiyou,24.07258217270193
89,2011,Solano,24.36066529774127
90,2011,Sonoma,17.962643784786636
91,2011,Stanislaus,25.57721629213482
92,2011,Sutter,29.66861341222883
93,2011,Tehama,34.17460727272727
94,2011,Tulare,35.82623985765125
95,2011,Tuolumne,31.90213091922004
96,2011,Ventura,29.519025270758103
97,2011,Yolo,25.596291839557367
98,2012,Alameda,22.766387846961734
99,2012,Amador,30.832399449035822
100,2012,Butte,36.760103492884845
101,2012,Calaveras,33.525597796143266
102,2012,Colusa,27.708035519125673
103,2012,Contra Costa,26.38154958100556
104,2012,El Dorado,45.59346802721093
105,2012,Fresno,34.91300090334231
106,2012,Glenn,30.445964480874327
107,2012,Humboldt,26.1051520223152
108,2012,Imperial,32.5837491313412
109,2012,Inyo,45.753144808743166
110,2012,Kern,39.28465903975992
111,2012,Kings,33.65399125364432
112,2012,Lake,29.921062499999973
113,2012,Los Angeles,28.864859965799074
114,2012,Madera,36.804742612011395
115,2012,Marin,22.41435792349729
116,2012,Mariposa,49.596352564102524
117,2012,Mendocino,22.96771181556199
118,2012,Merced,33.9554376731302
119,2012,Monterey,26.85985661764707
120,2012,Napa,24.77660655737706
121,2012,Nevada,46.019760869565175
122,2012,Orange,27.389519916142536
123,2012,Placer,33.15118579234978
124,2012,Riverside,37.86873983253579
125,2012,Sacramento,30.286026450848734
126,2012,San Benito,30.45936885245903
127,2012,San Bernardino,40.75273685509738
128,2012,San Diego,30.958677312775265
129,2012,San Francisco,23.341592286501385
130,2012,San Joaquin,31.816042465753394
131,2012,San Luis Obispo,32.112546484374874
132,2012,San Mateo,20.924567123287677
133,2012,Santa Barbara,32.01969628950979
134,2012,Santa Clara,24.958712389380533
135,2012,Santa Cruz,24.271658759124094
136,2012,Shasta,30.033557625948927
137,2012,Siskiyou,27.634950276243075
138,2012,Solano,27.40158546571137
139,2012,Sonoma,22.778898907103837
140,2012,Stanislaus,30.95661604584529
141,2012,Sutter,35.34928200371057
142,2012,Tehama,38.07923703703706
143,2012,Tulare,40.2152853185596
144,2012,Tuolumne,36.064866120218575
145,2012,Ventura,31.726649315068503
146,2012,Yolo,28.331349381017915
147,2013,Alameda,21.656874345549724
148,2013,Amador,27.812098630136997
149,2013,Butte,36.10719087136932
150,2013,Calaveras,31.172967032967016
151,2013,Colusa,25.86399999999997
152,2013,Contra Costa,23.90487470071828
153,2013,El Dorado,43.029723055934475
154,2013,Fresno,34.39847012505787
155,2013,Glenn,29.614231197771584
156,2013,Humboldt,23.327158839779003
157,2013,Imperial,33.85762619502865
158,2013,Inyo,44.95153203342615
159,2013,Kern,36.82972053994904
160,2013,Kings,36.748846921797
161,2013,Lake,28.8068602739726
162,2013,Los Angeles,29.56583179224859
163,2013,Madera,37.38296176470588
164,2013,Marin,21.55081917808219
165,2013,Mariposa,47.63756105100462
166,2013,Mendocino,17.88963157894736
167,2013,Merced,31.573811965811963
168,2013,Monterey,26.716164370982547
169,2013,Napa,22.615375342465757
170,2013,Nevada,46.876174397031505
171,2013,Orange,27.68183006993016
172,2013,Placer,31.19090557377051
173,2013,Riverside,37.68650443207582
174,2013,Sacramento,27.972590909090915
175,2013,San Benito,30.46991412742382
176,2013,San Bernardino,39.33378356762
177,2013,San Diego,28.885419989642624
178,2013,San Francisco,21.03039178082192
179,2013,San Joaquin,29.555646687697166
180,2013,San Luis Obispo,31.216856357927806
181,2013,San Mateo,20.089054794520564
182,2013,Santa Barbara,31.43734670027501
183,2013,Santa Clara,24.76692876712329
184,2013,Santa Cruz,25.261798630136973
185,2013,Shasta,28.769612554112587
186,2013,Siskiyou,28.169700549450535
187,2013,Solano,26.31429538461535
188,2013,Sonoma,23.2752889200561
189,2013,Stanislaus,30.20991735537189
190,2013,Sutter,32.64049542961608
191,2013,Tehama,36.636841530054646
192,2013,Tulare,40.89387241798292
193,2013,Tuolumne,34.41235068493149
194,2013,Ventura,31.49773209404043
195,2013,Yolo,26.06299175824178
196,2014,Alameda,23.9630029850746
197,2014,Amador,30.993891364902524
198,2014,Butte,36.160798353909485
199,2014,Calaveras,32.85231024930748
200,2014,Colusa,27.962359890109884
201,2014,Contra Costa,26.253355322338827
202,2014,El Dorado,44.49256906077344
203,2014,Fresno,35.04588199052136
204,2014,Glenn,29.35064383561642
205,2014,Humboldt,23.075117403314955
206,2014,Imperial,32.66879924242421
207,2014,Inyo,45.030320547945145
208,2014,Kern,38.4351972740316
209,2014,Kings,35.19634696755997
210,2014,Lake,32.640271978022014
211,2014,Los Angeles,31.033579635006095
212,2014,Madera,36.74213516609392
213,2014,Marin,22.848123287671243
214,2014,Mariposa,48.93920729366602
215,2014,Mendocino,23.374508241758267
216,2014,Merced,34.137597796143254
217,2014,Monterey,26.86153150684933
218,2014,Napa,22.225641095890396
219,2014,Nevada,48.72733088235297
220,2014,Orange,29.287267368420995
221,2014,Placer,33.7290166021029
222,2014,Riverside,39.724812634041854
223,2014,Sacramento,29.38763939029283
224,2014,San Benito,31.26469421487604
225,2014,San Bernardino,40.37660019337673
226,2014,San Diego,30.682818181818185
227,2014,San Francisco,22.441838356164382
228,2014,San Joaquin,32.68056310679612
229,2014,San Luis Obispo,31.362709398348475
230,2014,San Mateo,21.935030136986295
231,2014,Santa Barbara,32.16002526412482
232,2014,Santa Clara,26.18576000000003
233,2014,Santa Cruz,25.407060165975107
234,2014,Shasta,30.163935870331276
235,2014,Siskiyou,27.602841095890437
236,2014,Solano,27.008117163412148
237,2014,Sonoma,24.858418636995818
238,2014,Stanislaus,32.06245945945946
239,2014,Sutter,34.46822201138521
240,2014,Tehama,37.84116824196599
241,2014,Tulare,41.00771857923498
242,2014,Tuolumne,38.4385194029851
243,2014,Ventura,31.815374999999918
244,2014,Yolo,26.62184903047091
245,2015,Alameda,26.465841387856294
246,2015,Amador,28.506698630136995
247,2015,Butte,35.61772602739726
248,2015,Calaveras,32.48387671232876
249,2015,Colusa,28.767083102493082
250,2015,Contra Costa,27.041267763649955
251,2015,El Dorado,42.535756363636324
252,2015,Fresno,34.04415367679438
253,2015,Glenn,29.683928767123277
254,2015,Humboldt,24.809393689986322
255,2015,Imperial,31.13776140065146
256,2015,Inyo,42.05349722222221
257,2015,Kern,36.88752626086959
258,2015,Kings,32.913849447513805
259,2015,Lake,30.949619178082173
260,2015,Los Angeles,31.37707758435415
261,2015,Madera,33.32305873925503
262,2015,Marin,23.532795580110495
263,2015,Mariposa,46.2680256880734
264,2015,Mendocino,22.086852941176485
265,2015,Merced,32.53713953488373
266,2015,Monterey,26.92684417965169
267,2015,Napa,23.50987016574584
268,2015,Nevada,48.00488539741219
269,2015,Orange,30.345733976567907
270,2015,Placer,33.502355444997214
271,2015,Riverside,38.32991222096096
272,2015,Sacramento,28.725038430744483
273,2015,San Benito,29.769593150684923
274,2015,San Bernardino,39.6559168479574
275,2015,San Diego,33.05225687830681
276,2015,San Francisco,23.22817857142858
277,2015,San Joaquin,31.084867950481478
278,2015,San Luis Obispo,31.662408640507337
279,2015,San Mateo,22.20863535911603
280,2015,Santa Barbara,31.823718381502783
281,2015,Santa Clara,27.13037704918037
282,2015,Santa Cruz,24.136715068493157
283,2015,Shasta,32.07683801295895
284,2015,Siskiyou,27.63607967032969
285,2015,Solano,27.575985641025657
286,2015,Sonoma,23.955785419532326
287,2015,Stanislaus,30.78864574616458
288,2015,Sutter,33.809630314232905
289,2015,Tehama,38.66840823970042
290,2015,Tulare,40.01384235453321
291,2015,Tuolumne,34.08798082191783
292,2015,Ventura,31.531042951541835
293,2015,Yolo,27.349818930041177
294,2016,Alameda,25.494926972281426
295,2016,Amador,28.207030054644793
296,2016,Butte,34.714380821917835
297,2016,Calaveras,33.2847349726776
298,2016,Colusa,31.802575757575756
299,2016,Contra Costa,26.213354477611922
300,2016,El Dorado,44.745012738853475
301,2016,Fresno,34.44024862096146
302,2016,Glenn,29.437943502824858
303,2016,Humboldt,25.227054869684505
304,2016,Imperial,31.112709147771717
305,2016,Inyo,37.83702124311568
306,2016,Kern,38.08775543290785
307,2016,Kings,33.341103448275874
308,2016,Lake,28.18723770491802
309,2016,Los Angeles,30.453347384028838
310,2016,Madera,32.40582489740086
311,2016,Marin,23.40432240437158
312,2016,Mariposa,47.36834476190476
313,2016,Mendocino,22.76501114206128
314,2016,Merced,31.869213114754096
315,2016,Monterey,25.51973952641169
316,2016,Napa,22.69419672131149
317,2016,Nevada,46.10685792349726
318,2016,Orange,30.51007517241376
319,2016,Placer,35.62565424739189
320,2016,Riverside,39.020536681051276
321,2016,Sacramento,28.66931543357195
322,2016,San Benito,28.987733516483527
323,2016,San Bernardino,40.667936001917454
324,2016,San Diego,35.96736227045079
325,2016,San Francisco,23.06859178082192
326,2016,San Joaquin,29.027654794520597
327,2016,San Luis Obispo,31.41373746081501
328,2016,San Mateo,21.84924863387978
329,2016,Santa Barbara,30.737847356321865
330,2016,Santa Clara,25.692315741583247
331,2016,Santa Cruz,23.64477839335181
332,2016,Shasta,30.397084663428195
333,2016,Siskiyou,20.864423822714684
334,2016,Solano,26.592783811475396
335,2016,Sonoma,23.643828016643543
336,2016,Stanislaus,29.183526170798846
337,2016,Sutter,34.424153310104536
338,2016,Tehama,39.76534280639434
339,2016,Tulare,41.30624482988656
340,2016,Tuolumne,38.06646067415732
341,2016,Ventura,31.45110416666663
342,2016,Yolo,26.59103872752423
